Mittari;Aika;val
Testausmäärä;Vuosi 2021 Viikko 02;73575
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 02;29
Tapausten lukumäärä;Vuosi 2021 Viikko 03;2352
Testausmäärä;Vuosi 2021 Viikko 03;94981
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 03;27
Tapausten lukumäärä;Vuosi 2021 Viikko 04;2714
Testausmäärä;Vuosi 2021 Viikko 04;106418
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 04;13
Tapausten lukumäärä;Vuosi 2021 Viikko 05;2610
Testausmäärä;Vuosi 2021 Viikko 05;116188
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 05;16
Tapausten lukumäärä;Vuosi 2021 Viikko 06;2555
Testausmäärä;Vuosi 2021 Viikko 06;116833
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 06;22
Tapausten lukumäärä;Vuosi 2021 Viikko 07;3554
Testausmäärä;Vuosi 2021 Viikko 07;127181
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 07;17
Tapausten lukumäärä;Vuosi 2021 Viikko 08;3993
Testausmäärä;Vuosi 2021 Viikko 08;138626
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 08;28
Tapausten lukumäärä;Vuosi 2021 Viikko 09;4456
Testausmäärä;Vuosi 2021 Viikko 09;148410
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 09;18
Tapausten lukumäärä;Vuosi 2021 Viikko 10;4944
Testausmäärä;Vuosi 2021 Viikko 10;150512
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 10;29
Tapausten lukumäärä;Vuosi 2021 Viikko 11;4710
Testausmäärä;Vuosi 2021 Viikko 11;147207
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 11;20
Tapausten lukumäärä;Vuosi 2021 Viikko 12;4186
Testausmäärä;Vuosi 2021 Viikko 12;137867
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 12;26
Tapausten lukumäärä;Vuosi 2021 Viikko 13;3272
Testausmäärä;Vuosi 2021 Viikko 13;126561
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 13;14
Tapausten lukumäärä;Vuosi 2021 Viikko 14;2552
Testausmäärä;Vuosi 2021 Viikko 14;122052
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 14;10
Tapausten lukumäärä;Vuosi 2021 Viikko 15;1938
Testausmäärä;Vuosi 2021 Viikko 15;115672
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 15;15
Tapausten lukumäärä;Vuosi 2021 Viikko 16;1610
Testausmäärä;Vuosi 2021 Viikko 16;117562
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 16;8
Tapausten lukumäärä;Vuosi 2021 Viikko 17;1388
Testausmäärä;Vuosi 2021 Viikko 17;120533
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 17;12
Tapausten lukumäärä;Vuosi 2021 Viikko 18;1504
Testausmäärä;Vuosi 2021 Viikko 18;134375
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 18;4
Tapausten lukumäärä;Vuosi 2021 Viikko 19;1431
Testausmäärä;Vuosi 2021 Viikko 19;116186
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 19;19
Tapausten lukumäärä;Vuosi 2021 Viikko 20;1320
