"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W14*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"0 - 4 Yhteensä Kuolleet";"5 - 9 Yhteensä Kuolleet";"10 - 14 Yhteensä Kuolleet";"15 - 19 Yhteensä Kuolleet";"20 - 24 Yhteensä Kuolleet";"25 - 29 Yhteensä Kuolleet";"30 - 34 Yhteensä Kuolleet";"35 - 39 Yhteensä Kuolleet";"40 - 44 Yhteensä Kuolleet";"45 - 49 Yhteensä Kuolleet";"50 - 54 Yhteensä Kuolleet";"55 - 59 Yhteensä Kuolleet";"60 - 64 Yhteensä Kuolleet";"65 - 69 Yhteensä Kuolleet";"70 - 74 Yhteensä Kuolleet";"75 - 79 Yhteensä Kuolleet";"80 - 84 Yhteensä Kuolleet";"85 - 89 Yhteensä Kuolleet";"90 - Yhteensä Kuolleet"
"KOKO MAA";"1991W09";992;11;2;0;1;9;5;13;22;23;29;26;46;50;83;127;147;172;147;79
"KOKO MAA";"1991W10";944;5;2;0;4;5;8;5;18;22;27;26;37;69;85;103;156;183;125;64
"KOKO MAA";"1991W11";1011;17;0;2;1;5;6;7;13;20;34;31;39;75;96;115;161;179;138;72
"KOKO MAA";"1991W12";934;6;1;0;3;3;4;8;15;19;24;35;50;60;105;90;138;184;132;57
"KOKO MAA";"1991W13";1057;7;0;1;6;8;6;11;21;19;22;25;41;72;86;136;165;180;157;94
"KOKO MAA";"1991W14";991;8;0;2;4;3;5;8;11;21;30;36;39;82;106;100;152;186;117;81
"KOKO MAA";"1991W15";1003;9;1;1;1;4;7;14;16;16;26;42;34;64;105;111;156;192;142;62
"KOKO MAA";"1991W16";913;11;0;2;0;2;8;13;16;16;25;38;35;56;96;94;149;176;106;70
"KOKO MAA";"1991W17";972;12;5;0;0;5;5;11;17;27;28;33;48;62;84;111;166;167;117;74
"KOKO MAA";"1991W18";961;11;0;1;4;9;4;17;16;33;26;33;35;81;74;89;171;161;123;73
"KOKO MAA";"1991W19";867;8;0;0;4;4;8;6;18;20;17;26;36;63;93;111;118;167;105;63
"KOKO MAA";"1991W20";928;6;2;2;1;5;7;6;9;31;28;29;36;74;73;118;159;169;116;57
"KOKO MAA";"1991W21";905;8;0;2;1;6;11;7;13;24;24;35;30;69;97;104;146;142;123;63
"KOKO MAA";"1991W22";940;12;1;2;8;9;10;9;25;18;30;30;41;74;91;115;150;148;113;54
"KOKO MAA";"1991W23";972;10;1;1;6;7;9;7;12;30;29;31;46;64;91;125;169;162;110;62
"KOKO MAA";"1991W24";955;3;0;1;7;12;6;9;11;27;19;27;42;64;93;105;186;178;99;66
"KOKO MAA";"1991W25";928;6;1;2;4;8;15;17;17;14;33;31;48;58;91;104;152;150;123;54
"KOKO MAA";"1991W26";962;8;2;0;9;8;5;18;20;22;24;29;51;62;103;130;137;162;101;71
"KOKO MAA";"1991W27";937;11;1;1;5;12;8;12;24;32;30;23;41;61;96;121;148;150;104;57
"KOKO MAA";"1991W28";966;9;1;1;11;8;8;6;11;23;31;26;39;71;104;112;160;161;111;73
"KOKO MAA";"1991W29";947;12;3;1;7;7;8;14;19;19;24;29;46;73;95;98;154;171;106;61
"KOKO MAA";"1991W30";874;6;1;1;2;5;5;11;14;20;28;26;39;86;84;120;114;147;101;64
"KOKO MAA";"1991W31";970;9;1;1;6;9;10;6;21;30;31;27;38;74;102;109;147;164;131;54
"KOKO MAA";"1991W32";883;7;1;0;6;6;9;12;20;24;26;19;49;54;78;94;134;166;112;66
"KOKO MAA";"1991W33";893;4;2;0;8;6;9;10;13;20;21;39;49;74;65;100;149;166;105;53
"KOKO MAA";"1991W34";839;3;2;1;3;9;5;7;18;20;18;38;26;71;79;81;130;156;105;67
"KOKO MAA";"1991W35";904;9;1;1;1;9;10;12;9;24;28;22;44;66;83;112;159;154;105;55
"KOKO MAA";"1991W36";922;9;2;1;1;3;7;18;12;20;15;30;47;77;89;113;142;165;113;58
"KOKO MAA";"1991W37";958;8;3;0;9;3;8;12;19;27;30;30;37;67;96;114;148;153;128;66
"KOKO MAA";"1991W38";925;9;0;2;2;6;3;9;18;20;20;30;27;82;64;98;178;173;118;66
"KOKO MAA";"1991W39";886;6;1;1;2;10;5;6;14;19;24;25;43;66;79;98;152;157;110;68
"KOKO MAA";"1991W40";930;5;2;0;6;6;3;10;22;24;12;38;39;73;84;118;162;159;110;57
"KOKO MAA";"1991W41";873;4;1;1;4;7;8;9;18;15;24;18;47;69;92;105;135;144;119;53
"KOKO MAA";"1991W42";904;14;2;2;5;11;4;14;20;20;15;40;51;65;86;106;149;149;103;48
"KOKO MAA";"1991W43";892;7;0;1;4;10;6;12;17;20;25;24;49;53;87;105;150;147;124;51
"KOKO MAA";"1991W44";852;6;0;1;0;6;6;6;11;30;28;26;42;62;87;117;136;132;104;52
"KOKO MAA";"1991W45";915;7;0;1;2;5;9;8;20;29;30;32;31;74;85;118;141;140;120;63
"KOKO MAA";"1991W46";936;6;1;1;5;3;7;9;18;34;20;21;40;70;93;97;123;192;128;68
"KOKO MAA";"1991W47";968;8;1;2;2;9;6;12;24;27;29;38;36;64;80;116;165;167;128;54
"KOKO MAA";"1991W48";859;9;1;2;1;7;8;10;24;22;22;27;34;39;88;102;136;150;118;59
"KOKO MAA";"1991W49";946;10;1;0;0;3;4;10;19;21;27;22;40;54;92;117;149;187;122;68
