"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W14*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"Yhteensä Miehet Kuolleet";"Yhteensä Naiset Kuolleet";"0 - 4 Yhteensä Kuolleet";"0 - 4 Miehet Kuolleet";"0 - 4 Naiset Kuolleet";"5 - 9 Yhteensä Kuolleet";"5 - 9 Miehet Kuolleet";"5 - 9 Naiset Kuolleet";"10 - 14 Yhteensä Kuolleet";"10 - 14 Miehet Kuolleet";"10 - 14 Naiset Kuolleet";"15 - 19 Yhteensä Kuolleet";"15 - 19 Miehet Kuolleet";"15 - 19 Naiset Kuolleet";"20 - 24 Yhteensä Kuolleet";"20 - 24 Miehet Kuolleet";"20 - 24 Naiset Kuolleet";"25 - 29 Yhteensä Kuolleet";"25 - 29 Miehet Kuolleet";"25 - 29 Naiset Kuolleet";"30 - 34 Yhteensä Kuolleet";"30 - 34 Miehet Kuolleet";"30 - 34 Naiset Kuolleet";"35 - 39 Yhteensä Kuolleet";"35 - 39 Miehet Kuolleet";"35 - 39 Naiset Kuolleet";"40 - 44 Yhteensä Kuolleet";"40 - 44 Miehet Kuolleet";"40 - 44 Naiset Kuolleet";"45 - 49 Yhteensä Kuolleet";"45 - 49 Miehet Kuolleet";"45 - 49 Naiset Kuolleet";"50 - 54 Yhteensä Kuolleet";"50 - 54 Miehet Kuolleet";"50 - 54 Naiset Kuolleet";"55 - 59 Yhteensä Kuolleet";"55 - 59 Miehet Kuolleet";"55 - 59 Naiset Kuolleet";"60 - 64 Yhteensä Kuolleet";"60 - 64 Miehet Kuolleet";"60 - 64 Naiset Kuolleet";"65 - 69 Yhteensä Kuolleet";"65 - 69 Miehet Kuolleet";"65 - 69 Naiset Kuolleet";"70 - 74 Yhteensä Kuolleet";"70 - 74 Miehet Kuolleet";"70 - 74 Naiset Kuolleet";"75 - 79 Yhteensä Kuolleet";"75 - 79 Miehet Kuolleet";"75 - 79 Naiset Kuolleet";"80 - 84 Yhteensä Kuolleet";"80 - 84 Miehet Kuolleet";"80 - 84 Naiset Kuolleet";"85 - 89 Yhteensä Kuolleet";"85 - 89 Miehet Kuolleet";"85 - 89 Naiset Kuolleet";"90 - Yhteensä Kuolleet";"90 - Miehet Kuolleet";"90 - Naiset Kuolleet"
"KOKO MAA";"1990W25";935;479;456;7;4;3;1;0;1;0;0;0;7;2;5;7;7;0;9;8;1;15;13;2;17;15;2;24;14;10;21;18;3;37;28;9;42;33;9;74;53;21;82;56;26;93;48;45;154;74;80;149;55;94;133;39;94;63;12;51
"KOKO MAA";"1990W26";1024;489;535;11;2;9;1;0;1;2;1;1;4;3;1;12;8;4;14;7;7;3;2;1;15;14;1;20;15;5;22;15;7;39;26;13;69;46;23;68;46;22;90;59;31;110;55;55;181;80;101;176;58;118;117;40;77;70;12;58
"KOKO MAA";"1990W27";941;476;465;5;3;2;1;1;0;5;3;2;9;5;4;11;9;2;9;8;1;12;10;2;25;23;2;31;24;7;27;20;7;26;16;10;43;30;13;62;49;13;78;44;34;106;53;53;155;73;82;167;60;107;112;34;78;57;11;46
"KOKO MAA";"1990W28";905;438;467;9;6;3;1;0;1;2;0;2;7;5;2;13;11;2;6;5;1;5;4;1;15;11;4;26;20;6;24;20;4;34;21;13;52;39;13;69;44;25;87;51;36;116;60;56;131;48;83;166;56;110;88;25;63;54;12;42
"KOKO MAA";"1990W29";889;451;438;10;6;4;1;1;0;0;0;0;3;3;0;9;5;4;7;6;1;11;11;0;16;14;2;28;18;10;23;16;7;30;18;12;42;30;12;67;42;25;77;47;30;107;62;45;138;64;74;143;58;85;120;35;85;57;15;42
"KOKO MAA";"1990W30";915;465;450;8;3;5;3;1;2;0;0;0;12;10;2;13;13;0;8;5;3;10;6;4;8;7;1;32;23;9;23;18;5;39;26;13;30;19;11;60;45;15;88;59;29;103;56;47;175;80;95;141;56;85;114;26;88;48;12;36
"KOKO MAA";"1990W31";948;492;456;8;3;5;1;0;1;0;0;0;6;6;0;9;9;0;9;8;1;10;7;3;12;11;1;14;11;3;18;13;5;29;23;6;52;36;16;58;46;12;88;55;33;111;61;50;165;79;86;162;67;95;135;38;97;61;19;42
"KOKO MAA";"1990W32";858;470;388;8;5;3;4;4;0;0;0;0;8;4;4;7;6;1;7;4;3;8;7;1;18;17;1;33;22;11;18;13;5;26;20;6;41;32;9;69;55;14;77;49;28;89;49;40;134;62;72;158;70;88;94;36;58;59;15;44
"KOKO MAA";"1990W33";881;442;439;8;5;3;2;0;2;1;1;0;5;3;2;7;7;0;7;6;1;11;10;1;16;12;4;26;21;5;26;19;7;26;20;6;47;34;13;57;43;14;88;52;36;109;59;50;127;56;71;160;57;103;99;25;74;59;12;47
"KOKO MAA";"1990W34";861;440;421;6;3;3;4;3;1;3;2;1;4;3;1;7;7;0;6;4;2;12;8;4;15;12;3;23;17;6;20;13;7;35;16;19;36;31;5;60;37;23;92;61;31;92;50;42;132;67;65;157;61;96;101;31;70;56;14;42
