country;group;week;zscore
Finland;Total;2021-37;1
Finland;Total;2021-38;1.84
Finland;Total;2021-39;1.74
Finland;Total;2021-40;1.66
Finland;Total;2021-41;2.52
Finland;Total;2021-42;2.1
Finland;Total;2021-43;0.28
Finland;Total;2021-44;-0.65
Finland;Total;2021-45;0.83
Finland;Total;2021-46;1.27
Finland;Total;2021-47;1.76
Finland;Total;2021-48;1.03
Finland;Total;2021-49;1.97
Finland;Total;2021-50;0.81
Finland;Total;2021-51;-0.12
Finland;Total;2021-52;1.87
Finland;Total;2022-01;0.76
Finland;Total;2022-02;0.87
Finland;Total;2022-03;3.41
Finland;Total;2022-04;0.84
Finland;Total;2022-05;2.13
Finland;Total;2022-06;2.72
Finland;Total;2022-07;-1.05
Finland;Total;2022-08;-2.86
