group;week;zscore
0to14;2018-18;-1.35
0to14;2018-19;-0.71
0to14;2018-20;-0.03
0to14;2018-21;-0.34
0to14;2018-22;-1.56
0to14;2018-23;1.41
0to14;2018-24;-0.1
0to14;2018-25;-0.32
0to14;2018-26;0.07
0to14;2018-27;1.7
0to14;2018-28;0.93
0to14;2018-29;0.71
0to14;2018-30;1.72
0to14;2018-31;0.21
0to14;2018-32;1.55
0to14;2018-33;-0.77
0to14;2018-34;0.82
0to14;2018-35;-2.51
0to14;2018-36;-1.88
0to14;2018-37;1.6
0to14;2018-38;2.37
0to14;2018-39;-1.31
0to14;2018-40;0.21
0to14;2018-41;1.63
0to14;2018-42;1.35
0to14;2018-43;-1.38
0to14;2018-44;-0.95
0to14;2018-45;1.82
0to14;2018-46;1.08
0to14;2018-47;1.26
0to14;2018-48;0.52
0to14;2018-49;0.88
0to14;2018-50;0.87
0to14;2018-51;1.36
0to14;2018-52;-1.22
0to14;2019-01;1.76
0to14;2019-02;1.76
0to14;2019-03;1.76
0to14;2019-04;-0.04
0to14;2019-05;2.52
0to14;2019-06;1.74
0to14;2019-07;2.37
0to14;2019-08;1.99
0to14;2019-09;1.34
0to14;2019-10;0.63
0to14;2019-11;0.19
0to14;2019-12;-0.53
0to14;2019-13;-0.65
0to14;2019-14;0.53
0to14;2019-15;1.96
0to14;2019-16;-0.97
0to14;2019-17;0.22
0to14;2019-18;0.71
0to14;2019-19;-2.07
0to14;2019-20;-0.56
0to14;2019-21;0.44
0to14;2019-22;-1.19
0to14;2019-23;0.89
0to14;2019-24;-0.49
0to14;2019-25;0.09
0to14;2019-26;0.24
0to14;2019-27;-0.03
0to14;2019-28;1.1
0to14;2019-29;-1.15
0to14;2019-30;1.75
0to14;2019-31;2.44
0to14;2019-32;-0.85
0to14;2019-33;0.25
0to14;2019-34;1.68
0to14;2019-35;0.34
0to14;2019-36;-1.08
0to14;2019-37;-0.27
0to14;2019-38;1.49
0to14;2019-39;-1.13
0to14;2019-40;0.7
0to14;2019-41;-0.71
0to14;2019-42;-0.39
0to14;2019-43;0.77
0to14;2019-44;-1.98
0to14;2019-45;-0.12
0to14;2019-46;0.93
0to14;2019-47;0.65
0to14;2019-48;1.64
0to14;2019-49;2.03
0to14;2019-50;2.82
0to14;2019-51;1.39
0to14;2019-52;1.75
0to14;2020-01;-0.02
0to14;2020-02;0.62
0to14;2020-03;0.58
0to14;2020-04;1.7
0to14;2020-05;1.49
0to14;2020-06;0.73
0to14;2020-07;0.02
0to14;2020-08;0.89
0to14;2020-09;-0.28
0to14;2020-10;0.29
0to14;2020-11;0.85
0to14;2020-12;0.92
0to14;2020-13;1.39
0to14;2020-14;0.82
0to14;2020-15;0.2
0to14;2020-16;-0.81
0to14;2020-17;-0.6
0to14;2020-18;-0.87
0to14;2020-19;-0.43
0to14;2020-20;-0.31
0to14;2020-21;-0.34
0to14;2020-22;-0.61
0to14;2020-23;-0.08
0to14;2020-24;-1.2
0to14;2020-25;-0.57
0to14;2020-26;0.34
0to14;2020-27;-1.16
0to14;2020-28;-1.44
0to14;2020-29;-0.86
0to14;2020-30;1.88
0to14;2020-31;-0.09
0to14;2020-32;-1.51
0to14;2020-33;0.57
0to14;2020-34;-1.5
0to14;2020-35;-1.16
0to14;2020-36;-1.26
0to14;2020-37;0.02
0to14;2020-38;0.43
0to14;2020-39;0.43
0to14;2020-40;-1.65
0to14;2020-41;-0.37
0to14;2020-42;-2.68
0to14;2020-43;-0.62
0to14;2020-44;-2.59
0to14;2020-45;0.02
0to14;2020-46;-1.01
0to14;2020-47;-1.49
0to14;2020-48;-1.45
0to14;2020-49;-0.19
0to14;2020-50;-0.84
0to14;2020-51;-0.38
0to14;2020-52;-1.45
0to14;2020-53;-0.52
0to14;2021-01;-2.01
0to14;2021-02;-1.67
0to14;2021-03;-1.53
0to14;2021-04;-0.04
0to14;2021-05;-1.32
0to14;2021-06;-0.53
0to14;2021-07;-1.16
0to14;2021-08;-2.24
0to14;2021-09;1.14
0to14;2021-10;-2.07
0to14;2021-11;0.18
0to14;2021-12;-0.63
0to14;2021-13;0.05
0to14;2021-14;-2.35
0to14;2021-15;-0.34
0to14;2021-16;-1.24
0to14;2021-17;0.6
0to14;2021-18;-0.13
0to14;2021-19;0.52
0to14;2021-20;0.01
0to14;2021-21;-0.62
0to14;2021-22;1.25
0to14;2021-23;0.54
0to14;2021-24;0.62
0to14;2021-25;0.94
0to14;2021-26;1.68
0to14;2021-27;1.01
0to14;2021-28;0.77
0to14;2021-29;1.08
0to14;2021-30;1.61
0to14;2021-31;0.86
0to14;2021-32;1.29
0to14;2021-33;-0.09
0to14;2021-34;0.05
0to14;2021-35;0.55
0to14;2021-36;0.38
0to14;2021-37;0.57
0to14;2021-38;1.48
0to14;2021-39;2.4
0to14;2021-40;1.24
0to14;2021-41;0.43
0to14;2021-42;2.07
0to14;2021-43;1.85
0to14;2021-44;1.9
0to14;2021-45;1.4
0to14;2021-46;2.27
0to14;2021-47;1.5
0to14;2021-48;3.64
0to14;2021-49;-0.5
0to14;2021-50;2.53
0to14;2021-51;1
0to14;2021-52;2.03
0to14;2022-01;0.17
0to14;2022-02;0.23
0to14;2022-03;0
0to14;2022-04;-0.03
0to14;2022-05;1.16
0to14;2022-06;0.77
0to14;2022-07;1.31
0to14;2022-08;-0.65
0to14;2022-09;0.37
0to14;2022-10;1.52
0to14;2022-11;-0.3
0to14;2022-12;-0.63
0to14;2022-13;-1.5
15to44;2017-15;-0.78
15to44;2017-16;-2.09
15to44;2017-17;1.12
15to44;2017-18;0.66
15to44;2017-19;0.99
15to44;2017-20;-0.64
15to44;2017-21;1.61
15to44;2017-22;-0.6
15to44;2017-23;-0.77
15to44;2017-24;0.98
15to44;2017-25;1.5
15to44;2017-26;-0.17
15to44;2017-27;0.97
15to44;2017-28;-0.59
15to44;2017-29;-0.26
15to44;2017-30;1.45
15to44;2017-31;1.35
15to44;2017-32;1.09
15to44;2017-33;-0.41
15to44;2017-34;0.58
15to44;2017-35;-0.83
15to44;2017-36;-0.52
15to44;2017-37;-2.01
15to44;2017-38;1.55
15to44;2017-39;0.76
15to44;2017-40;-0.26
15to44;2017-41;-0.66
15to44;2017-42;-0.5
15to44;2017-43;-0.19
15to44;2017-44;0.52
15to44;2017-45;-1.01
15to44;2017-46;0.11
15to44;2017-47;0.11
15to44;2017-48;0.34
15to44;2017-49;1.61
15to44;2017-50;1.52
15to44;2017-51;0.77
15to44;2017-52;2.69
15to44;2018-01;3.85
15to44;2018-02;1.9
15to44;2018-03;0.86
15to44;2018-04;1.63
15to44;2018-05;-0.32
15to44;2018-06;2.5
15to44;2018-07;2.44
15to44;2018-08;-0.22
15to44;2018-09;3.39
15to44;2018-10;2.54
15to44;2018-11;1.47
15to44;2018-12;0.61
15to44;2018-13;0.8
15to44;2018-14;0.92
15to44;2018-15;0.22
15to44;2018-16;0.76
15to44;2018-17;-1.03
15to44;2018-18;2.11
15to44;2018-19;1.72
15to44;2018-20;0.45
15to44;2018-21;0.71
15to44;2018-22;-0.51
15to44;2018-23;1.47
15to44;2018-24;-1.27
15to44;2018-25;-0.69
15to44;2018-26;1.44
15to44;2018-27;1.04
15to44;2018-28;3.3
15to44;2018-29;1.27
15to44;2018-30;2.01
15to44;2018-31;3.72
15to44;2018-32;1.95
15to44;2018-33;0.82
15to44;2018-34;0.55
15to44;2018-35;-0.06
15to44;2018-36;0.27
15to44;2018-37;-0.03
15to44;2018-38;-0.67
15to44;2018-39;-0.69
15to44;2018-40;-0.46
15to44;2018-41;3.63
15to44;2018-42;-0.67
15to44;2018-43;-0.55
15to44;2018-44;0.28
15to44;2018-45;-0.04
15to44;2018-46;-0.84
15to44;2018-47;-0.62
15to44;2018-48;-0.51
15to44;2018-49;0.66
15to44;2018-50;0.83
15to44;2018-51;1.3
15to44;2018-52;0.05
15to44;2019-01;2.75
15to44;2019-02;3.07
15to44;2019-03;1.49
15to44;2019-04;0.51
15to44;2019-05;1.29
15to44;2019-06;2
15to44;2019-07;1.88
15to44;2019-08;0.81
15to44;2019-09;-0.92
15to44;2019-10;1.47
15to44;2019-11;-1.22
15to44;2019-12;-1.11
15to44;2019-13;-0.56
15to44;2019-14;-0.21
15to44;2019-15;0.47
15to44;2019-16;-0.25
15to44;2019-17;-1.81
15to44;2019-18;-0.9
15to44;2019-19;-0.69
15to44;2019-20;-0.36
15to44;2019-21;-0.39
15to44;2019-22;-0.75
15to44;2019-23;0.45
15to44;2019-24;-1.3
15to44;2019-25;1
15to44;2019-26;2.58
15to44;2019-27;1.57
15to44;2019-28;-1.04
15to44;2019-29;-0.05
15to44;2019-30;2.17
15to44;2019-31;0.08
15to44;2019-32;0.37
15to44;2019-33;-0.19
15to44;2019-34;-0.53
15to44;2019-35;1.04
15to44;2019-36;-0.48
15to44;2019-37;0.55
15to44;2019-38;-0.23
15to44;2019-39;-0.3
15to44;2019-40;-0.48
15to44;2019-41;1.26
15to44;2019-42;-0.89
15to44;2019-43;1.79
15to44;2019-44;-0.64
15to44;2019-45;-0.45
15to44;2019-46;-0.07
15to44;2019-47;-0.03
15to44;2019-48;-0.76
15to44;2019-49;0.38
15to44;2019-50;0.11
15to44;2019-51;0.14
15to44;2019-52;-0.16
15to44;2020-01;3.47
15to44;2020-02;2.11
15to44;2020-03;0.6
15to44;2020-04;-0.46
15to44;2020-05;3.36
15to44;2020-06;-0.9
15to44;2020-07;1.52
15to44;2020-08;0.01
15to44;2020-09;1.39
15to44;2020-10;1.63
15to44;2020-11;1.88
15to44;2020-12;0.76
15to44;2020-13;3.12
15to44;2020-14;2.98
15to44;2020-15;4.54
15to44;2020-16;1.75
15to44;2020-17;0.85
15to44;2020-18;-0.98
15to44;2020-19;-1.2
15to44;2020-20;1.47
15to44;2020-21;-0.69
15to44;2020-22;1.21
15to44;2020-23;-0.33
15to44;2020-24;1
15to44;2020-25;0.94
15to44;2020-26;0.88
15to44;2020-27;0.43
15to44;2020-28;-0.5
15to44;2020-29;0.07
15to44;2020-30;-0.02
15to44;2020-31;2.54
15to44;2020-32;2.35
15to44;2020-33;3.39
15to44;2020-34;1.22
15to44;2020-35;0.38
15to44;2020-36;1.13
15to44;2020-37;2.09
15to44;2020-38;1.77
15to44;2020-39;0.33
15to44;2020-40;-0.01
15to44;2020-41;1.55
15to44;2020-42;-1.08
15to44;2020-43;2.74
15to44;2020-44;1.55
15to44;2020-45;0.1
15to44;2020-46;0.09
15to44;2020-47;1.01
15to44;2020-48;-0.07
15to44;2020-49;4.4
15to44;2020-50;3.05
15to44;2020-51;0.54
15to44;2020-52;0.77
15to44;2020-53;3.17
15to44;2021-01;2
15to44;2021-02;2.36
15to44;2021-03;3.28
15to44;2021-04;2.87
15to44;2021-05;2.51
15to44;2021-06;-0.21
15to44;2021-07;-0.22
15to44;2021-08;-0.83
15to44;2021-09;-0.11
15to44;2021-10;-0.14
15to44;2021-11;0.28
15to44;2021-12;0.09
15to44;2021-13;2.4
15to44;2021-14;1.83
15to44;2021-15;2.43
15to44;2021-16;1.82
15to44;2021-17;1.17
15to44;2021-18;3.1
15to44;2021-19;0.24
15to44;2021-20;0.66
15to44;2021-21;0.29
15to44;2021-22;1.69
15to44;2021-23;0.38
15to44;2021-24;3.31
15to44;2021-25;2.1
15to44;2021-26;1.49
15to44;2021-27;2.38
15to44;2021-28;3.83
15to44;2021-29;4.73
15to44;2021-30;4.02
15to44;2021-31;2.04
15to44;2021-32;3.26
15to44;2021-33;2.08
15to44;2021-34;1.84
15to44;2021-35;2.76
15to44;2021-36;4.63
15to44;2021-37;3.94
15to44;2021-38;3.08
15to44;2021-39;3.19
15to44;2021-40;2.14
15to44;2021-41;1.39
15to44;2021-42;3.77
15to44;2021-43;1.65
15to44;2021-44;1.54
15to44;2021-45;5.07
15to44;2021-46;3.61
15to44;2021-47;6.03
15to44;2021-48;6.6
15to44;2021-49;5.17
15to44;2021-50;4.15
15to44;2021-51;4
15to44;2021-52;5.29
15to44;2022-01;4.71
15to44;2022-02;2.68
15to44;2022-03;2.17
15to44;2022-04;1.85
15to44;2022-05;2.32
15to44;2022-06;1.37
15to44;2022-07;2.73
15to44;2022-08;1.57
15to44;2022-09;1.6
15to44;2022-10;1.9
15to44;2022-11;1.41
15to44;2022-12;0.04
15to44;2022-13;-5.34
45to64;2017-15;-0.07
45to64;2017-16;-1.59
45to64;2017-17;1.92
45to64;2017-18;0.51
45to64;2017-19;1.51
45to64;2017-20;-0.08
45to64;2017-21;0.99
45to64;2017-22;-1.17
45to64;2017-23;-0.62
45to64;2017-24;0.5
45to64;2017-25;3.47
45to64;2017-26;-1.66
45to64;2017-27;-0.56
45to64;2017-28;1.53
45to64;2017-29;1.26
45to64;2017-30;-0.86
45to64;2017-31;2.94
45to64;2017-32;0.05
45to64;2017-33;-2.32
45to64;2017-34;-0.59
45to64;2017-35;-0.27
45to64;2017-36;-1.29
45to64;2017-37;-0.9
45to64;2017-38;0.21
45to64;2017-39;0.51
45to64;2017-40;2.04
45to64;2017-41;0.87
45to64;2017-42;0.51
45to64;2017-43;-0.41
45to64;2017-44;-0.39
45to64;2017-45;1.44
