country;group;week;zscore
Belgium;Total;2016-36;-0.63
Belgium;Total;2016-37;0.61
Belgium;Total;2016-38;-2.25
Belgium;Total;2016-39;-0.23
Belgium;Total;2016-40;-0.53
Belgium;Total;2016-41;1.23
Belgium;Total;2016-42;0.53
Belgium;Total;2016-43;-0.03
Belgium;Total;2016-44;0.94
Belgium;Total;2016-45;0.28
Belgium;Total;2016-46;1.4
Belgium;Total;2016-47;0.35
Belgium;Total;2016-48;0.91
Belgium;Total;2016-49;0.98
Belgium;Total;2016-50;1.02
Belgium;Total;2016-51;1.84
Belgium;Total;2016-52;2.73
Belgium;Total;2017-01;4.21
Belgium;Total;2017-02;5.77
Belgium;Total;2017-03;4.79
Belgium;Total;2017-04;5.04
Belgium;Total;2017-05;7.44
Belgium;Total;2017-06;5.29
Belgium;Total;2017-07;4.35
Belgium;Total;2017-08;2.06
Belgium;Total;2017-09;1.43
Belgium;Total;2017-10;-0.3
Belgium;Total;2017-11;-1.49
Belgium;Total;2017-12;-0.46
Belgium;Total;2017-13;-0.58
Belgium;Total;2017-14;-1.49
Belgium;Total;2017-15;-1.36
Belgium;Total;2017-16;-1.67
Belgium;Total;2017-17;0.55
Belgium;Total;2017-18;1.13
Belgium;Total;2017-19;0.23
Belgium;Total;2017-20;1.91
Belgium;Total;2017-21;0.89
Belgium;Total;2017-22;0.94
Belgium;Total;2017-23;-1.33
Belgium;Total;2017-24;-0.23
Belgium;Total;2017-25;2.98
Belgium;Total;2017-26;-1.03
Belgium;Total;2017-27;0.59
Belgium;Total;2017-28;0.06
Belgium;Total;2017-29;0.02
Belgium;Total;2017-30;0.59
Belgium;Total;2017-31;-0.18
Belgium;Total;2017-32;-0.03
Belgium;Total;2017-33;-0.82
Belgium;Total;2017-34;1.21
Belgium;Total;2017-35;0.93
Belgium;Total;2017-36;0.18
Belgium;Total;2017-37;-0.76
Belgium;Total;2017-38;-0.18
Belgium;Total;2017-39;0.52
Belgium;Total;2017-40;0.01
Belgium;Total;2017-41;1.22
Belgium;Total;2017-42;0.4
Belgium;Total;2017-43;-1.19
Belgium;Total;2017-44;-1.72
Belgium;Total;2017-45;-1.43
Belgium;Total;2017-46;0.11
Belgium;Total;2017-47;0.5
Belgium;Total;2017-48;-0.41
Belgium;Total;2017-49;1.84
Belgium;Total;2017-50;1.78
Belgium;Total;2017-51;1.51
Belgium;Total;2017-52;2.05
Belgium;Total;2018-01;2.32
Belgium;Total;2018-02;1.38
Belgium;Total;2018-03;1.48
Belgium;Total;2018-04;0.57
Belgium;Total;2018-05;1.67
