group;week;zscore
0to14;2021-16;-1.02
0to14;2021-17;0.75
0to14;2021-18;0.1
0to14;2021-19;0.65
0to14;2021-20;0.24
0to14;2021-21;-0.58
0to14;2021-22;1.24
0to14;2021-23;0.49
0to14;2021-24;0.71
0to14;2021-25;1.12
0to14;2021-26;1.78
0to14;2021-27;1.11
0to14;2021-28;0.82
0to14;2021-29;1.21
0to14;2021-30;1.75
0to14;2021-31;1
0to14;2021-32;1.37
0to14;2021-33;0.09
0to14;2021-34;0.22
0to14;2021-35;0.65
0to14;2021-36;0.52
0to14;2021-37;0.88
0to14;2021-38;1.69
0to14;2021-39;2.5
0to14;2021-40;1.32
0to14;2021-41;0.57
0to14;2021-42;2.03
0to14;2021-43;1.96
0to14;2021-44;2
0to14;2021-45;1.44
0to14;2021-46;2.39
0to14;2021-47;1.5
0to14;2021-48;3.71
0to14;2021-49;-0.47
0to14;2021-50;2.51
0to14;2021-51;0.94
0to14;2021-52;2.24
0to14;2022-01;0.3
0to14;2022-02;0.23
0to14;2022-03;0.13
0to14;2022-04;0.12
0to14;2022-05;1.34
0to14;2022-06;0.81
0to14;2022-07;1.24
0to14;2022-08;-0.66
0to14;2022-09;0.6
0to14;2022-10;1.09
0to14;2022-11;-1.34
15to44;2017-13;-0.34
15to44;2017-14;-1.8
15to44;2017-15;-0.97
15to44;2017-16;-2.12
15to44;2017-17;0.78
15to44;2017-18;0.3
15to44;2017-19;0.69
15to44;2017-20;-0.73
15to44;2017-21;1.35
15to44;2017-22;-0.54
15to44;2017-23;-0.94
15to44;2017-24;0.91
15to44;2017-25;1.43
15to44;2017-26;-0.25
15to44;2017-27;1.14
15to44;2017-28;-0.68
15to44;2017-29;-0.41
15to44;2017-30;1.47
15to44;2017-31;1.43
15to44;2017-32;0.65
15to44;2017-33;-0.23
15to44;2017-34;0.66
15to44;2017-35;-0.65
15to44;2017-36;-0.5
15to44;2017-37;-2.05
15to44;2017-38;1.78
15to44;2017-39;1.03
15to44;2017-40;-0.36
15to44;2017-41;-1.07
15to44;2017-42;-0.64
15to44;2017-43;-0.34
15to44;2017-44;0.5
15to44;2017-45;-1.14
15to44;2017-46;0.16
15to44;2017-47;0.06
15to44;2017-48;0.22
15to44;2017-49;1.57
15to44;2017-50;1.5
15to44;2017-51;0.75
15to44;2017-52;2.63
15to44;2018-01;3.97
15to44;2018-02;1.76
15to44;2018-03;0.65
15to44;2018-04;1.56
15to44;2018-05;-0.48
15to44;2018-06;2.33
15to44;2018-07;2.05
15to44;2018-08;-0.23
15to44;2018-09;3.21
15to44;2018-10;2.68
15to44;2018-11;1.29
15to44;2018-12;0.64
15to44;2018-13;0.72
15to44;2018-14;0.85
15to44;2018-15;0.18
15to44;2018-16;0.85
15to44;2018-17;-0.87
15to44;2018-18;2.08
15to44;2018-19;1.82
15to44;2018-20;0.27
15to44;2018-21;0.83
15to44;2018-22;-0.51
15to44;2018-23;1.44
15to44;2018-24;-1.09
15to44;2018-25;-0.4
15to44;2018-26;1.47
15to44;2018-27;1.14
15to44;2018-28;3.43
15to44;2018-29;1.3
15to44;2018-30;2.12
15to44;2018-31;3.7
15to44;2018-32;1.98
15to44;2018-33;0.95
15to44;2018-34;0.52
15to44;2018-35;0.06
15to44;2018-36;0.35
15to44;2018-37;0.06
15to44;2018-38;-0.43
15to44;2018-39;-0.57
15to44;2018-40;-0.34
15to44;2018-41;3.56
15to44;2018-42;-0.56
15to44;2018-43;-0.3
15to44;2018-44;0.29
15to44;2018-45;0.12
15to44;2018-46;-0.79
15to44;2018-47;-0.49
15to44;2018-48;-0.5
15to44;2018-49;0.66
15to44;2018-50;0.83
15to44;2018-51;1.2
15to44;2018-52;-0.02
15to44;2019-01;2.53
15to44;2019-02;2.85
15to44;2019-03;1.27
15to44;2019-04;0.38
15to44;2019-05;1.2
15to44;2019-06;1.98
15to44;2019-07;1.88
15to44;2019-08;0.55
15to44;2019-09;-0.95
15to44;2019-10;1.42
15to44;2019-11;-1.11
15to44;2019-12;-1.08
15to44;2019-13;-0.71
15to44;2019-14;-0.18
15to44;2019-15;0.22
15to44;2019-16;-0.31
15to44;2019-17;-1.71
15to44;2019-18;-0.7
15to44;2019-19;-0.75
15to44;2019-20;-0.38
15to44;2019-21;-0.29
15to44;2019-22;-0.77
15to44;2019-23;0.43
15to44;2019-24;-1.02
15to44;2019-25;1.1
15to44;2019-26;2.64
15to44;2019-27;1.65
15to44;2019-28;-0.82
15to44;2019-29;-0.17
15to44;2019-30;2.35
15to44;2019-31;0.35
15to44;2019-32;0.65
15to44;2019-33;-0.14
15to44;2019-34;-0.35
15to44;2019-35;1.22
15to44;2019-36;-0.41
15to44;2019-37;0.63
15to44;2019-38;0.08
15to44;2019-39;-0.24
15to44;2019-40;-0.86
15to44;2019-41;1.32
15to44;2019-42;-1.07
15to44;2019-43;1.99
