group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
0to14;2021-21;309.76;396.27;352.13;442.11;338.98
0to14;2021-22;309.59;395.79;351.81;441.46;379.25
0to14;2021-23;309.17;395.63;351.51;441.46;363.46
0to14;2021-24;308.9;395.36;351.24;441.18;364.8
0to14;2021-25;308.65;395.11;350.99;440.93;371.52
0to14;2021-26;308.43;394.88;350.77;440.71;387.92
0to14;2021-27;308.23;394.69;350.57;440.52;372.68
0to14;2021-28;308.05;394.52;350.39;440.35;367.36
0to14;2021-29;307.89;394.38;350.24;440.22;373.98
0to14;2021-30;307.82;394.19;350.12;439.97;385.56
0to14;2021-31;307.66;394.17;350.02;440.03;368.82
0to14;2021-32;307.57;394.1;349.95;439.98;378.25
0to14;2021-33;307.51;394.07;349.9;439.95;348.11
0to14;2021-34;307.48;394.06;349.87;439.96;351
0to14;2021-35;307.45;394.08;349.87;440.01;361.92
0to14;2021-36;307.46;394.11;349.89;440.05;358.19
0to14;2021-37;307.48;394.18;349.93;440.15;362.44
0to14;2021-38;307.52;394.27;350;440.27;382.71
0to14;2021-39;307.57;394.38;350.08;440.42;403.65
0to14;2021-40;307.62;394.52;350.17;440.6;377.46
0to14;2021-41;307.69;394.68;350.28;440.8;359.73
0to14;2021-42;307.76;394.85;350.4;441.04;396.59
0to14;2021-43;307.83;395.05;350.53;441.3;391.78
0to14;2021-44;307.9;395.25;350.67;441.58;393.03
0to14;2021-45;307.96;395.46;350.8;441.88;381.96
0to14;2021-46;308.01;395.68;350.93;442.19;401.95
0to14;2021-47;308.04;395.9;351.05;442.51;384.64
0to14;2021-48;308.06;396.11;351.17;442.83;434.4
0to14;2021-49;308.06;396.31;351.26;443.13;340.3
0to14;2021-50;308.04;396.49;351.34;443.42;408.76
0to14;2021-51;308;396.63;351.38;443.67;373.88
0to14;2021-52;307.94;396.74;351.4;443.88;397.46
0to14;2022-01;307.85;396.81;351.39;444.04;355.2
0to14;2022-02;307.75;396.83;351.35;444.13;356.59
0to14;2022-03;307.62;396.8;351.26;444.15;351.47
0to14;2022-04;307.47;396.72;351.15;444.11;350.48
0to14;2022-05;307.3;396.58;350.99;443.98;377.34
0to14;2022-06;307.11;396.38;350.8;443.79;368.32
0to14;2022-07;306.9;396.13;350.57;443.52;380.36
0to14;2022-08;306.67;395.84;350.31;443.19;336.08
0to14;2022-09;306.43;395.51;350.02;442.81;358.52
0to14;2022-10;306.17;395.14;349.71;442.38;384.15
0to14;2022-11;305.89;394.75;349.38;441.92;342.74
0to14;2022-12;305.6;394.33;349.03;441.44;335.28
0to14;2022-13;305.3;393.91;348.67;440.95;316.17
15to44;2017-15;1497.32;1678.48;1587.04;1771.62;1552
15to44;2017-16;1496.92;1676.54;1585.89;1768.87;1493
15to44;2017-17;1496.33;1674.66;1584.66;1766.31;1635
15to44;2017-18;1495.53;1672.87;1583.37;1764;1613
15to44;2017-19;1494.54;1671.2;1582.05;1761.96;1626
15to44;2017-20;1493.38;1669.64;1580.69;1760.19;1553
15to44;2017-21;1492.07;1668.2;1579.32;1758.7;1651
15to44;2017-22;1490.65;1666.88;1577.94;1757.42;1552
15to44;2017-23;1489.14;1665.64;1576.56;1756.33;1543
15to44;2017-24;1487.57;1664.47;1575.19;1755.38;1619
15to44;2017-25;1485.98;1663.35;1573.83;1754.5;1641
15to44;2017-26;1484.41;1662.24;1572.48;1753.63;1565
15to44;2017-27;1482.88;1661.12;1571.16;1752.73;1615
15to44;2017-28;1481.43;1659.98;1569.86;1751.76;1544
15to44;2017-29;1480.07;1658.8;1568.59;1750.67;1557
15to44;2017-30;1478.83;1657.58;1567.35;1749.47;1633
15to44;2017-31;1477.72;1656.33;1566.17;1748.14;1627
15to44;2017-32;1476.75;1655.06;1565.06;1746.72;1614
15to44;2017-33;1475.92;1653.79;1564.01;1745.23;1546
15to44;2017-34;1475.24;1652.57;1563.06;1743.71;1589
15to44;2017-35;1474.7;1651.42;1562.23;1742.24;1526
15to44;2017-36;1474.29;1650.39;1561.51;1740.89;1539
15to44;2017-37;1474;1649.53;1560.94;1739.73;1474
15to44;2017-38;1473.82;1648.88;1560.53;1738.83;1629
15to44;2017-39;1473.73;1648.49;1560.29;1738.28;1594
15to44;2017-40;1473.71;1648.39;1560.23;1738.14;1549
15to44;2017-41;1473.74;1648.62;1560.36;1738.48;1532
15to44;2017-42;1473.85;1649.16;1560.69;1739.25;1539
15to44;2017-43;1473.98;1650.06;1561.19;1740.55;1553
15to44;2017-44;1474.14;1651.29;1561.88;1742.35;1585
15to44;2017-45;1474.33;1652.84;1562.73;1744.6;1518
15to44;2017-46;1474.55;1654.65;1563.74;1747.26;1569
15to44;2017-47;1474.8;1656.69;1564.86;1750.24;1570
15to44;2017-48;1475.08;1658.89;1566.08;1753.45;1582
15to44;2017-49;1475.4;1661.18;1567.37;1756.79;1643
15to44;2017-50;1475.77;1663.51;1568.7;1760.15;1641
15to44;2017-51;1476.19;1665.78;1570.03;1763.4;1607
15to44;2017-52;1476.66;1667.93;1571.32;1766.44;1702
15to44;2018-01;1477.18;1669.89;1572.55;1769.16;1762
15to44;2018-02;1477.75;1671.6;1573.68;1771.48;1667
15to44;2018-03;1478.37;1673.01;1574.69;1773.3;1617
15to44;2018-04;1479.02;1674.07;1575.54;1774.58;1656
15to44;2018-05;1479.7;1674.76;1576.22;1775.27;1561
15to44;2018-06;1480.39;1675.05;1576.72;1775.35;1700
15to44;2018-07;1481.06;1674.96;1577.02;1774.85;1697
15to44;2018-08;1481.71;1674.48;1577.11;1773.77;1567
15to44;2018-09;1482.3;1673.64;1577;1772.18;1742
15to44;2018-10;1482.81;1672.49;1576.7;1770.14;1699
15to44;2018-11;1483.22;1671.06;1576.21;1767.73;1646
15to44;2018-12;1483.5;1669.4;1575.54;1765.06;1604
15to44;2018-13;1483.63;1667.59;1574.71;1762.21;1612
15to44;2018-14;1483.59;1665.66;1573.75;1759.3;1616
15to44;2018-15;1483.36;1663.69;1572.66;1756.41;1583
15to44;2018-16;1482.93;1661.72;1571.48;1753.62;1606
15to44;2018-17;1482.3;1659.8;1570.21;1751.03;1525
15to44;2018-18;1481.47;1657.96;1568.89;1748.66;1663
15to44;2018-19;1480.44;1656.23;1567.52;1746.56;1644
15to44;2018-20;1479.25;1654.62;1566.11;1744.73;1586
15to44;2018-21;1477.9;1653.13;1564.7;1743.17;1596
15to44;2018-22;1476.43;1651.75;1563.27;1741.84;1541
15to44;2018-23;1474.88;1650.47;1561.85;1740.71;1627
15to44;2018-24;1473.26;1649.27;1560.44;1739.72;1505
15to44;2018-25;1471.64;1648.12;1559.04;1738.82;1529
15to44;2018-26;1470.02;1646.99;1557.67;1737.95;1622
15to44;2018-27;1468.46;1645.87;1556.32;1737.07;1603
15to44;2018-28;1466.96;1644.73;1555;1736.12;1704
15to44;2018-29;1465.57;1643.56;1553.72;1735.08;1611
15to44;2018-30;1464.3;1642.37;1552.49;1733.92;1643
15to44;2018-31;1463.17;1641.15;1551.31;1732.66;1720
15to44;2018-32;1462.18;1639.92;1550.2;1731.3;1638
15to44;2018-33;1461.35;1638.7;1549.18;1729.88;1586
15to44;2018-34;1460.66;1637.52;1548.25;1728.44;1573
15to44;2018-35;1460.13;1636.42;1547.44;1727.04;1545
15to44;2018-36;1459.73;1635.44;1546.75;1725.75;1559
15to44;2018-37;1459.47;1634.62;1546.22;1724.65;1545
15to44;2018-38;1459.32;1634.01;1545.84;1723.8;1517
15to44;2018-39;1459.27;1633.66;1545.65;1723.28;1516
15to44;2018-40;1459.31;1633.59;1545.63;1723.16;1526
15to44;2018-41;1459.41;1633.85;1545.81;1723.5;1707
15to44;2018-42;1459.57;1634.43;1546.18;1724.31;1517
15to44;2018-43;1459.77;1635.36;1546.73;1725.63;1523
15to44;2018-44;1460;1636.63;1547.47;1727.43;1560
15to44;2018-45;1460.26;1638.21;1548.38;1729.71;1547
15to44;2018-46;1460.55;1640.06;1549.44;1732.39;1512
15to44;2018-47;1460.87;1642.15;1550.63;1735.41;1523
15to44;2018-48;1461.22;1644.41;1551.91;1738.68;1529
15to44;2018-49;1461.6;1646.78;1553.27;1742.09;1584
15to44;2018-50;1462.02;1649.18;1554.66;1745.54;1594
15to44;2018-51;1462.49;1651.54;1556.06;1748.9;1618
15to44;2018-52;1463;1653.79;1557.42;1752.07;1560
15to44;2019-01;1463.55;1655.86;1558.71;1754.94;1693
15to44;2019-02;1464.15;1657.68;1559.91;1757.41;1711
15to44;2019-03;1464.78;1659.2;1560.98;1759.4;1634
15to44;2019-04;1465.45;1660.38;1561.9;1760.84;1587
15to44;2019-05;1466.13;1661.18;1562.64;1761.71;1626
15to44;2019-06;1466.81;1661.58;1563.18;1761.96;1662
15to44;2019-07;1467.48;1661.59;1563.53;1761.61;1656
15to44;2019-08;1468.11;1661.2;1563.66;1760.69;1603
15to44;2019-09;1468.68;1660.45;1563.58;1759.23;1520
15to44;2019-10;1469.17;1659.36;1563.3;1757.3;1634
15to44;2019-11;1469.56;1657.98;1562.82;1754.99;1506
15to44;2019-12;1469.81;1656.36;1562.16;1752.38;1511
15to44;2019-13;1469.91;1654.56;1561.32;1749.58;1536
15to44;2019-14;1469.84;1652.64;1560.35;1746.68;1551
15to44;2019-15;1469.58;1650.65;1559.24;1743.79;1581
15to44;2019-16;1469.11;1648.66;1558.02;1740.98;1547
15to44;2019-17;1468.45;1646.7;1556.72;1738.34;1477
15to44;2019-18;1467.58;1644.81;1555.36;1735.92;1516
15to44;2019-19;1466.56;1642.99;1553.94;1733.68;1524
15to44;2019-20;1465.29;1641.35;1552.49;1731.85;1537
15to44;2019-21;1463.91;1639.8;1551.03;1730.21;1534
15to44;2019-22;1462.41;1638.37;1549.56;1728.82;1517
15to44;2019-23;1460.81;1637.04;1548.09;1727.63;1568
15to44;2019-24;1459.17;1635.79;1546.64;1726.59;1490
15to44;2019-25;1457.5;1634.6;1545.2;1725.66;1590
15to44;2019-26;1455.85;1633.45;1543.8;1724.77;1660
15to44;2019-27;1454.25;1632.31;1542.42;1723.88;1613
15to44;2019-28;1452.72;1631.17;1541.08;1722.94;1495
15to44;2019-29;1451.3;1630.01;1539.79;1721.93;1538
15to44;2019-30;1450;1628.83;1538.55;1720.81;1637
15to44;2019-31;1448.84;1627.64;1537.37;1719.6;1541
15to44;2019-32;1447.83;1626.44;1536.27;1718.31;1553
15to44;2019-33;1446.98;1625.26;1535.26;1716.95;1527
15to44;2019-34;1446.29;1624.12;1534.35;1715.58;1511
15to44;2019-35;1445.76;1623.06;1533.56;1714.25;1580
15to44;2019-36;1445.37;1622.13;1532.9;1713.02;1512
15to44;2019-37;1445.12;1621.35;1532.39;1711.97;1557
15to44;2019-38;1445;1620.79;1532.05;1711.17;1522
15to44;2019-39;1444.99;1620.47;1531.89;1710.7;1519
15to44;2019-40;1445.07;1620.44;1531.92;1710.61;1511
15to44;2019-41;1445.22;1620.73;1532.14;1710.96;1588
15to44;2019-42;1445.44;1621.35;1532.55;1711.8;1494
15to44;2019-43;1445.7;1622.31;1533.16;1713.13;1613
15to44;2019-44;1446;1623.61;1533.95;1714.95;1506
15to44;2019-45;1446.33;1625.22;1534.91;1717.24;1515
15to44;2019-46;1446.69;1627.12;1536.02;1719.95;1533
15to44;2019-47;1447.08;1629.26;1537.27;1723.02;1536
15to44;2019-48;1447.49;1631.58;1538.62;1726.34;1504
15to44;2019-49;1447.94;1634.01;1540.04;1729.82;1558
15to44;2019-50;1448.41;1636.49;1541.5;1733.36;1547
15to44;2019-51;1448.93;1638.94;1542.96;1736.84;1550
15to44;2019-52;1449.48;1641.29;1544.39;1740.14;1537
15to44;2020-01;1450.06;1643.47;1545.76;1743.16;1717
15to44;2020-02;1450.69;1645.41;1547.02;1745.79;1651
15to44;2020-03;1451.34;1647.05;1548.16;1747.95;1578
15to44;2020-04;1452.01;1648.34;1549.14;1749.58;1527
15to44;2020-05;1452.7;1649.26;1549.94;1750.62;1718
15to44;2020-06;1453.37;1649.78;1550.54;1751.06;1507
15to44;2020-07;1454.03;1649.9;1550.93;1750.88;1626
15to44;2020-08;1454.65;1649.61;1551.11;1750.12;1552
15to44;2020-09;1455.2;1648.95;1551.06;1748.8;1619
15to44;2020-10;1455.67;1647.93;1550.81;1747;1630
15to44;2020-11;1456.03;1646.61;1550.34;1744.79;1641
15to44;2020-12;1456.25;1645.04;1549.68;1742.27;1586
15to44;2020-13;1456.32;1643.26;1548.85;1739.51;1697
15to44;2020-14;1456.22;1641.35;1547.86;1736.64;1688
15to44;2020-15;1455.93;1639.35;1546.73;1733.75;1760
15to44;2020-16;1455.44;1637.33;1545.49;1730.92;1626
15to44;2020-17;1454.74;1635.33;1544.16;1728.24;1583
15to44;2020-18;1453.84;1633.4;1542.75;1725.75;1499
15to44;2020-19;1452.76;1631.55;1541.29;1723.51;1488
15to44;2020-20;1451.49;1629.82;1539.8;1721.53;1606
15to44;2020-21;1450.08;1628.2;1538.28;1719.81;1508
15to44;2020-22;1448.55;1626.71;1536.77;1718.33;1591
15to44;2020-23;1446.92;1625.31;1535.25;1717.07;1521
15to44;2020-24;1445.24;1624.01;1533.76;1715.96;1579
15to44;2020-25;1443.54;1622.77;1532.28;1714.98;1575
15to44;2020-26;1441.86;1621.58;1530.84;1714.05;1571
15to44;2020-27;1440.23;1620.42;1529.44;1713.13;1549
15to44;2020-28;1438.67;1619.26;1528.07;1712.19;1506
15to44;2020-29;1437.21;1618.1;1526.76;1711.19;1530
15to44;2020-30;1435.89;1616.93;1525.51;1710.1;1525
15to44;2020-31;1434.7;1615.75;1524.33;1708.93;1641
15to44;2020-32;1433.68;1614.58;1523.23;1707.68;1631
15to44;2020-33;1432.81;1613.43;1522.23;1706.39;1678
15to44;2020-34;1432.11;1612.33;1521.33;1705.08;1577
15to44;2020-35;1431.57;1611.31;1520.56;1703.81;1538
15to44;2020-36;1431.19;1610.42;1519.92;1702.65;1571
15to44;2020-37;1430.95;1609.69;1519.44;1701.65;1614
15to44;2020-38;1430.85;1609.16;1519.13;1700.91;1599
15to44;2020-39;1430.86;1608.89;1519;1700.48;1534
15to44;2020-40;1430.97;1608.9;1519.07;1700.43;1519
15to44;2020-41;1431.17;1609.22;1519.32;1700.81;1589
15to44;2020-42;1431.44;1609.87;1519.78;1701.67;1472
15to44;2020-43;1431.76;1610.87;1520.43;1703.02;1645
15to44;2020-44;1432.12;1612.2;1521.27;1704.87;1592
15to44;2020-45;1432.52;1613.85;1522.29;1707.18;1527
15to44;2020-46;1432.95;1615.8;1523.46;1709.93;1528
15to44;2020-47;1433.4;1617.98;1524.76;1713.03;1572
15to44;2020-48;1433.88;1620.36;1526.17;1716.42;1523
15to44;2020-49;1434.38;1622.87;1527.66;1719.98;1740
15to44;2020-50;1434.91;1625.43;1529.18;1723.61;1677
15to44;2020-51;1435.48;1627.97;1530.72;1727.21;1557
15to44;2020-52;1436.07;1630.42;1532.22;1730.64;1570
15to44;2020-53;1436.69;1632.71;1533.66;1733.81;1692
15to44;2021-01;1437.34;1634.76;1534.99;1736.61;1635
15to44;2021-02;1438.01;1636.53;1536.2;1738.95;1655
15to44;2021-03;1438.69;1637.95;1537.24;1740.77;1704
15to44;2021-04;1439.38;1639;1538.11;1742;1684
15to44;2021-05;1440.05;1639.64;1538.77;1742.63;1666
15to44;2021-06;1440.7;1639.87;1539.21;1742.64;1529
15to44;2021-07;1441.3;1639.7;1539.43;1742.05;1529
15to44;2021-08;1441.83;1639.13;1539.42;1740.89;1499
15to44;2021-09;1442.27;1638.19;1539.19;1739.23;1534
15to44;2021-10;1442.6;1636.94;1538.75;1737.13;1532
15to44;2021-11;1442.8;1635.41;1538.1;1734.69;1552
15to44;2021-12;1442.84;1633.67;1537.27;1732;1542
15to44;2021-13;1442.71;1631.77;1536.27;1729.17;1651.42
15to44;2021-14;1442.39;1629.77;1535.12;1726.28;1622.02
15to44;2021-15;1441.87;1627.72;1533.86;1723.43;1648.59
15to44;2021-16;1441.15;1625.69;1532.49;1720.7;1617.26
15to44;2021-17;1440.22;1623.7;1531.04;1718.15;1585.46
15to44;2021-18;1439.11;1621.79;1529.54;1715.82;1673.29
15to44;2021-19;1437.82;1619.99;1528;1713.75;1539.25
15to44;2021-20;1436.39;1618.3;1526.44;1711.93;1556.72
15to44;2021-21;1434.83;1616.73;1524.87;1710.36;1538.39
15to44;2021-22;1433.18;1615.26;1523.32;1708.99;1601.03
15to44;2021-23;1431.48;1613.89;1521.77;1707.8;1539.37
15to44;2021-24;1429.75;1612.6;1520.26;1706.74;1674.24
15to44;2021-25;1428.05;1611.35;1518.78;1705.74;1616.27
15to44;2021-26;1426.38;1610.16;1517.34;1704.79;1586.42
15to44;2021-27;1424.79;1608.98;1515.95;1703.83;1627.16
15to44;2021-28;1423.31;1607.8;1514.62;1702.82;1694.89
15to44;2021-29;1421.96;1606.63;1513.36;1701.74;1736.91
15to44;2021-30;1420.75;1605.46;1512.17;1700.6;1701.82
15to44;2021-31;1419.7;1604.31;1511.06;1699.39;1606.35
15to44;2021-32;1418.82;1603.18;1510.06;1698.14;1662.91
15to44;2021-33;1418.1;1602.11;1509.17;1696.89;1606.17
15to44;2021-34;1417.55;1601.14;1508.41;1695.68;1593.78
15to44;2021-35;1417.17;1600.28;1507.8;1694.58;1635.99
15to44;2021-36;1416.94;1599.59;1507.34;1693.65;1724.09
15to44;2021-37;1416.84;1599.11;1507.06;1692.96;1690.53
15to44;2021-38;1416.88;1598.87;1506.96;1692.58;1649.69
15to44;2021-39;1417.02;1598.92;1507.05;1692.57;1654.73
15to44;2021-40;1417.26;1599.27;1507.35;1693;1605.84
15to44;2021-41;1417.57;1599.96;1507.85;1693.88;1572.12
15to44;2021-42;1417.94;1601;1508.54;1695.27;1684.77
15to44;2021-43;1418.36;1602.37;1509.43;1697.14;1586.44
15to44;2021-44;1418.82;1604.06;1510.49;1699.49;1582.72
15to44;2021-45;1419.31;1606.05;1511.72;1702.27;1754.76
15to44;2021-46;1419.82;1608.29;1513.08;1705.43;1686.35
15to44;2021-47;1420.36;1610.74;1514.55;1708.87;1810.52
15to44;2021-48;1420.92;1613.31;1516.1;1712.52;1844.68
15to44;2021-49;1421.51;1615.96;1517.7;1716.26;1776.05
15to44;2021-50;1422.12;1618.6;1519.3;1719.97;1727.67
15to44;2021-51;1422.75;1621.15;1520.87;1723.55;1723.66
15to44;2021-52;1423.4;1623.56;1522.38;1726.87;1795.09
15to44;2022-01;1424.08;1625.73;1523.79;1729.85;1767.8
15to44;2022-02;1424.76;1627.63;1525.07;1732.39;1663.33
15to44;2022-03;1425.46;1629.18;1526.19;1734.4;1638.25
15to44;2022-04;1426.14;1630.36;1527.12;1735.84;1622.79
15to44;2022-05;1426.81;1631.14;1527.84;1736.67;1648.22
15to44;2022-06;1427.45;1631.49;1528.34;1736.87;1599.2
15to44;2022-07;1428.03;1631.43;1528.6;1736.47;1669.82
15to44;2022-08;1428.54;1630.97;1528.64;1735.48;1608.95
15to44;2022-09;1428.96;1630.12;1528.44;1733.97;1609.62
15to44;2022-10;1429.27;1628.94;1528.02;1731.99;1624.07
15to44;2022-11;1429.44;1627.47;1527.38;1729.65;1597.83
15to44;2022-12;1429.45;1625.76;1526.55;1727.03;1528.71
15to44;2022-13;1429.29;1623.87;1525.55;1724.23;1273.73
45to64;2017-15;8443.82;8888.14;8665.03;9113.13;8658
45to64;2017-16;8417.23;8856.67;8636.02;9079.17;8462
45to64;2017-17;8390.7;8826.04;8607.45;9046.44;8818
45to64;2017-18;8364.59;8796.68;8579.73;9015.43;8635
45to64;2017-19;8339.24;8768.99;8553.22;8986.56;8717
45to64;2017-20;8315.02;8743.33;8528.28;8960.15;8520
45to64;2017-21;8292.31;8719.95;8505.23;8936.44;8612
45to64;2017-22;8271.42;8699.12;8484.37;8915.65;8360
45to64;2017-23;8252.69;8681.02;8465.95;8897.88;8400
45to64;2017-24;8236.43;8665.78;8450.2;8883.17;8504
45to64;2017-25;8222.89;8653.51;8437.28;8871.55;8814
45to64;2017-26;8212.29;8644.26;8427.35;8862.99;8249
45to64;2017-27;8204.82;8638.04;8420.5;8857.43;8360
45to64;2017-28;8200.58;8634.88;8416.79;8854.81;8584
45to64;2017-29;8199.65;8634.72;8416.25;8855.05;8554
45to64;2017-30;8202.05;8637.5;8418.84;8858.03;8326
45to64;2017-31;8207.71;8643.19;8424.51;8863.73;8747
45to64;2017-32;8216.57;8651.65;8433.17;8871.98;8439
45to64;2017-33;8228.45;8662.79;8444.69;8882.75;8195
45to64;2017-34;8243.15;8676.48;8458.89;8895.9;8396
45to64;2017-35;8260.41;8692.56;8475.57;8911.38;8447
45to64;2017-36;8279.94;8710.89;8494.5;8929.08;8356
45to64;2017-37;8301.38;8731.26;8515.42;8948.9;8419
45to64;2017-38;8324.38;8753.48;8538.03;8970.72;8561
45to64;2017-39;8348.51;8777.32;8562.02;8994.4;8617
45to64;2017-40;8373.4;8802.51;8587.06;9019.74;8807
45to64;2017-41;8398.59;8828.76;8612.78;9046.52;8707
45to64;2017-42;8423.7;8855.74;8638.82;9074.44;8695
45to64;2017-43;8448.3;8883.1;8664.79;9103.22;8621
45to64;2017-44;8472.02;8910.44;8690.31;9132.4;8648
45to64;2017-45;8494.5;8937.34;8714.98;9161.55;8875
45to64;2017-46;8515.43;8963.35;8738.43;9190.17;9075
45to64;2017-47;8534.51;8988.02;8760.29;9217.7;8913
45to64;2017-48;8551.47;9010.9;8780.19;9243.6;9008
45to64;2017-49;8566.12;9031.54;8797.8;9267.3;9112
45to64;2017-50;8578.26;9049.51;8812.84;9288.27;9346
45to64;2017-51;8587.75;9064.44;8825.02;9305.99;9436
45to64;2017-52;8594.47;9075.99;8834.14;9320.02;9779
45to64;2018-01;8598.34;9083.88;8840;9329.97;9974
45to64;2018-02;8599.31;9087.9;8842.48;9335.56;9547
45to64;2018-03;8597.38;9087.92;8841.52;9336.57;9651
45to64;2018-04;8592.58;9083.88;8837.09;9332.93;9401
45to64;2018-05;8584.96;9075.81;8829.25;9324.63;9495
45to64;2018-06;8574.61;9063.81;8818.08;9311.79;9399
45to64;2018-07;8561.66;9048.08;8803.75;9294.63;9748
45to64;2018-08;8546.26;9028.87;8786.46;9273.47;9992
45to64;2018-09;8528.6;9006.52;8766.48;9248.72;10254
45to64;2018-10;8508.89;8981.42;8744.09;9220.86;10162
45to64;2018-11;8487.35;8954.02;8719.64;9190.46;9737
45to64;2018-12;8464.24;8924.8;8693.5;9158.11;9482
45to64;2018-13;8439.84;8894.27;8666.06;9124.44;9032
45to64;2018-14;8414.45;8862.95;8637.73;9090.1;9296
45to64;2018-15;8388.36;8831.37;8608.92;9055.71;9075
45to64;2018-16;8361.91;8800.04;8580.04;9021.89;8697
45to64;2018-17;8335.44;8769.44;8551.52;8989.18;8521
45to64;2018-18;8309.31;8740;8523.75;8958.05;8500
45to64;2018-19;8283.86;8712.14;8497.1;8928.97;8402
45to64;2018-20;8259.46;8686.22;8471.94;8902.27;8491
45to64;2018-21;8236.5;8662.48;8448.6;8878.14;8435
45to64;2018-22;8215.23;8641.3;8427.37;8857.01;8453
45to64;2018-23;8196.09;8622.74;8408.51;8838.76;8432
45to64;2018-24;8179.33;8607.01;8392.26;8823.56;8354
45to64;2018-25;8165.24;8594.19;8378.8;8811.4;8380
45to64;2018-26;8154.02;8584.37;8368.27;8802.29;8521
45to64;2018-27;8145.88;8577.57;8360.8;8796.19;8471
45to64;2018-28;8140.95;8573.8;8356.44;8793.01;8338
45to64;2018-29;8139.29;8573.03;8355.22;8792.69;8508
45to64;2018-30;8140.95;8575.21;8357.14;8795.14;8712
45to64;2018-31;8145.89;8580.28;8362.14;8800.27;8895
45to64;2018-32;8154;8588.15;8370.14;8808.03;8664
45to64;2018-33;8165.19;8598.71;8381.01;8818.25;8316
45to64;2018-34;8179.22;8611.83;8394.6;8830.91;8314
45to64;2018-35;8195.86;8627.39;8410.7;8845.9;8393
45to64;2018-36;8214.82;8645.22;8429.1;8863.15;8439
45to64;2018-37;8235.77;8665.14;8449.55;8882.54;8307
45to64;2018-38;8258.34;8686.96;8471.74;8903.96;8452
45to64;2018-39;8282.15;8710.43;8495.39;8927.26;8544
45to64;2018-40;8306.78;8735.33;8520.16;8952.28;8694
45to64;2018-41;8331.83;8761.34;8545.69;8978.78;8497
45to64;2018-42;8356.88;8788.17;8571.62;9006.51;8413
45to64;2018-43;8381.52;8815.44;8597.57;9035.12;8547
45to64;2018-44;8405.38;8842.79;8623.16;9064.26;8617
45to64;2018-45;8428.09;8869.8;8648;9093.45;8739
45to64;2018-46;8449.32;8896.02;8671.71;9122.22;8730
45to64;2018-47;8468.78;8921;8693.91;9150.03;8718
45to64;2018-48;8486.21;8944.29;8714.24;9176.32;8884
45to64;2018-49;8501.37;8965.44;8732.38;9200.53;8929
45to64;2018-50;8514.08;8984.03;8748;9222.13;8884
45to64;2018-51;8524.18;8999.66;8760.85;9240.61;9259
45to64;2018-52;8531.55;9012;8770.68;9255.49;9084
45to64;2019-01;8536.09;9020.74;8777.3;9266.39;9501
45to64;2019-02;8537.76;9025.67;8780.59;9273;9532
45to64;2019-03;8536.54;9026.65;8780.45;9275.1;9411
45to64;2019-04;8532.44;9023.58;8776.87;9272.57;9630
45to64;2019-05;8525.51;9016.49;8769.86;9265.4;9730
45to64;2019-06;8515.84;9005.47;8759.51;9253.68;9525
45to64;2019-07;8503.55;8990.67;8745.98;9237.59;9586
45to64;2019-08;8488.76;8972.37;8729.45;9217.5;9195
45to64;2019-09;8471.67;8950.86;8710.17;9193.72;9363
45to64;2019-10;8452.48;8926.53;8688.43;9166.76;9185
45to64;2019-11;8431.4;8899.83;8664.56;9137.2;8770
45to64;2019-12;8408.73;8871.17;8638.92;9105.46;8700
45to64;2019-13;8384.68;8841.12;8611.89;9072.35;8527
45to64;2019-14;8359.55;8810.19;8583.89;9038.46;8597
45to64;2019-15;8333.7;8778.86;8555.32;9004.32;8387
45to64;2019-16;8307.4;8747.67;8526.59;8970.63;8591
45to64;2019-17;8281;8717.11;8498.12;8937.94;8567
45to64;2019-18;8254.86;8687.61;8470.31;8906.74;8324
45to64;2019-19;8229.32;8659.6;8443.55;8877.46;8337
45to64;2019-20;8204.75;8633.42;8418.18;8850.47;8379
45to64;2019-21;8181.52;8609.4;8394.55;8826.05;8272
45to64;2019-22;8159.96;8587.78;8372.96;8804.41;8336
45to64;2019-23;8140.41;8568.77;8353.68;8785.68;8319
45to64;2019-24;8123.18;8552.54;8336.94;8769.96;8411
45to64;2019-25;8108.55;8539.18;8322.94;8757.26;8452
45to64;2019-26;8096.75;8528.79;8311.83;8747.6;8573
45to64;2019-27;8087.97;8521.4;8303.74;8740.92;8604
45to64;2019-28;8082.35;8517.02;8298.74;8737.18;8069
45to64;2019-29;8080;8515.63;8296.86;8736.28;8469
45to64;2019-30;8080.92;8517.21;8298.11;8738.2;8554
45to64;2019-31;8085.12;8521.67;8302.44;8742.8;8231
45to64;2019-32;8092.53;8528.95;8309.78;8750;8170
45to64;2019-33;8103;8538.93;8320.01;8759.74;7926
45to64;2019-34;8116.34;8551.52;8332.99;8771.94;8094
45to64;2019-35;8132.32;8566.59;8348.51;8786.53;8429
45to64;2019-36;8150.72;8583.91;8366.38;8803.29;8199
45to64;2019-37;8171.15;8603.39;8386.35;8822.28;8153
45to64;2019-38;8193.28;8624.81;8408.12;8843.33;8433
45to64;2019-39;8216.73;8647.94;8431.42;8866.29;8545
45to64;2019-40;8241.11;8672.53;8455.9;8890.98;8459
45to64;2019-41;8265.99;8698.32;8481.23;8917.22;8561
45to64;2019-42;8290.96;8724.98;8507.05;8944.74;8431
45to64;2019-43;8315.63;8752.17;8532.97;8973.22;8458
45to64;2019-44;8339.61;8779.52;8558.62;9002.28;8522
