"cumulative_excess_mortality_x","cumulative_excess_mortality_x_date","cumulative_excess_mortality_y"
"-3569","2010-03-25","-663.2902805575536"
"-3562","2010-04-01","-693.9899121056902"
"-3555","2010-04-08","-730.982227236057"
"-3548","2010-04-15","-718.7220906939407"
"-3541","2010-04-22","-739.786232932159"
"-3534","2010-04-29","-697.8794256469414"
"-3527","2010-05-06","-694.8388046831856"
"-3520","2010-05-13","-689.6362770180541"
"-3513","2010-05-20","-695.3789762641167"
"-3506","2010-05-27","-739.3077593905994"
"-3499","2010-06-03","-749.7937657346096"
"-3492","2010-06-10","-771.3330874524582"
"-3485","2010-06-17","-802.539627937559"
"-3478","2010-06-24","-752.1362510089807"
"-3471","2010-07-01","-704.9443484725032"
"-3464","2010-07-08","-652.8719766142071"
"-3457","2010-07-15","-415.90073297197523"
"-3450","2010-07-22","-363.07156304088335"
"-3443","2010-07-29","-338.46970213819225"
"-3436","2010-08-05","-272.208970255954"
"-3429","2010-08-12","-202.41564718050086"
"-3422","2010-08-19","-251.21216132023585"
"-3415","2010-08-26","-253.70082846574508"
"-3408","2010-09-02","-152.9478760677706"
"-3401","2010-09-09","-109.96798456704585"
"-3394","2010-09-16","-97.70956990287414"
"-3387","2010-09-23","-41.04102067070846"
"-3380","2010-09-30","-30.738089646098956"
"-3373","2010-10-07","-1.4726227413201514"
"-3366","2010-10-14","37.19721084803996"
"-3359","2010-10-21","76.83504523749332"
"-3352","2010-10-28","35.132682874144166"
"-3345","2010-11-04","-4.085394855042978"
"-3338","2010-11-11","-23.85943743484961"
"-3331","2010-11-18","-67.09379366441465"
"-3324","2010-11-25","-77.5582485819798"
"-3317","2010-12-02","-31.89131020998775"
"-3310","2010-12-09","-2.605399205993649"
"-3303","2010-12-16","-4.093866921585345"
"-3296","2010-12-23","26.36025914241293"
"-3289","2010-12-30","111.57392855629348"
"-3282","2011-01-06","106.45226917194248"
"-3275","2011-01-13","159.97550672602313"
"-3268","2011-01-20","141.18479186543857"
"-3261","2011-01-27","75.16713951993927"
"-3254","2011-02-03","32.03969847905057"
"-3247","2011-02-10","-77.06642118856178"
"-3240","2011-02-17","-120.02252874842964"
"-3233","2011-02-24","-145.71870422405857"
"-3226","2011-03-03","-112.07988374690638"
"-3219","2011-03-10","-58.08144571811124"
"-3212","2011-03-17","-68.76407181567367"
"-3205","2011-03-24","-53.24766730498743"
"-3198","2011-03-31","-31.74413866098439"
"-3191","2011-04-07","-64.56884299154558"
"-3184","2011-04-14","-67.15054292650348"
"-3177","2011-04-21","-57.03972222771699"
"-3170","2011-04-28","-56.91514107141313"
"-3163","2011-05-05","-66.58853541175267"
"-3156","2011-05-12","-43.00739168619532"
"-3149","2011-05-19","-33.25575598025591"
"-3142","2011-05-26","-62.55306522843705"
"-3135","2011-06-02","-34.25101667744207"
"-3128","2011-06-09","26.171479737749905"
"-3121","2011-06-16","12.115193666581717"
"-3114","2011-06-23","60.86921207771411"
"-3107","2011-06-30","94.62119794826799"
"-3100","2011-07-07","145.46912187355417"
"-3093","2011-07-14","121.43429717312654"
"-3086","2011-07-21","138.47553012555284"
"-3079","2011-07-28","149.5041807428911"
"-3072","2011-08-04","144.39991623247113"
"-3065","2011-08-11","127.02692918139473"
"-3058","2011-08-18","145.2503856857993"
"-3051","2011-08-25","170.95286523225866"
"-3044","2011-09-01","155.0505541733953"
"-3037","2011-09-08","126.50895812457782"
"-3030","2011-09-15","141.35790549421665"
"-3023","2011-09-22","212.70562454811534"
"-3016","2011-09-29","227.75168975216775"
"-3009","2011-10-06","294.7986494452266"
"-3002","2011-10-13","293.2621659300265"
"-2995","2011-10-20","298.6795205598153"
"-2988","2011-10-27","244.71636003140145"
"-2981","2011-11-03","242.1715855300564"
"-2974","2011-11-10","155.98031324029284"
"-2967","2011-11-17","137.21486265025487"
"-2960","2011-11-24","80.08375763230197"
"-2953","2011-12-01","84.92875406488724"
"-2946","2011-12-08","-5.780063645808127"
"-2939","2011-12-15","-84.451046796171"
"-2932","2011-12-22","-141.3795100383644"
"-2925","2011-12-29","-128.75789954711433"
"-2918","2012-01-05","-109.68745498188639"
"-2911","2012-01-12","-127.19119683439123"
"-2904","2012-01-19","-151.22805149147428"
"-2897","2012-01-26","-164.70790979542028"
"-2890","2012-02-02","-138.5074012882095"
"-2883","2012-02-09","-143.48615588132577"
"-2876","2012-02-16","-12.503317550740007"
"-2869","2012-02-23","88.56592907768152"
"-2862","2012-03-01","204.81405865855038"
"-2855","2012-03-08","296.28536778271757"
"-2848","2012-03-15","393.96082994842516"
"-2841","2012-03-22","438.7438624899597"
"-2834","2012-03-29","414.44721197262913"
"-2827","2012-04-05","350.7811484333803"
"-2820","2012-04-12","367.3431399531995"
"-2813","2012-04-19","319.6091576633553"
"-2806","2012-04-26","274.92673772143246"
"-2799","2012-05-03","262.5099013855919"
"-2792","2012-05-10","217.43600743398974"
"-2785","2012-05-17","195.6445832097112"
"-2778","2012-05-24","195.9381519246483"
"-2771","2012-05-31","175.9850449432738"
"-2764","2012-06-07","140.32415900794376"
"-2757","2012-06-14","177.37159017790407"
"-2750","2012-06-21","227.4290490431381"
"-2743","2012-06-28","214.693935936123"
"-2736","2012-07-05","232.2709307742458"
"-2729","2012-07-12","273.1849301726701"
"-2722","2012-07-19","282.3951448911845"
"-2715","2012-07-26","284.8101538034597"
"-2708","2012-08-02","255.30369664859006"
