"cumulative_excess_mortality_x","cumulative_excess_mortality_x_date","cumulative_excess_mortality_y"
"141","2020-05-21","-338.9397249954844"
"148","2020-05-28","-373.8717304277583"
"155","2020-06-04","-405.6648292102093"
"162","2020-06-11","-409.892175515477"
"169","2020-06-18","-341.25371061321425"
"176","2020-06-25","-312.5660651779576"
"183","2020-07-02","-302.7507678987994"
"190","2020-07-09","-339.8209306460029"
"197","2020-07-16","-295.8666025746303"
"204","2020-07-23","-306.03900489058753"
"211","2020-07-30","-296.53387428907763"
"218","2020-08-06","-314.5741560623645"
"225","2020-08-13","-310.39229737378923"
"232","2020-08-20","-269.2123970693684"
"239","2020-08-27","-258.232470560758"
"246","2020-09-03","-261.6070867313307"
"253","2020-09-10","-125.43062851229695"
"260","2020-09-17","-73.72141982379696"
"267","2020-09-24","13.593050894782095"
"274","2020-10-01","-19.31040384912228"
"281","2020-10-08","-54.138711632047375"
"288","2020-10-15","-8.47226137614291"
"295","2020-10-22","23.24354570758885"
"302","2020-10-29","106.70479249983384"
"309","2020-11-05","90.75349492923408"
"316","2020-11-12","46.3799383846914"
"323","2020-11-19","85.72286704545388"
"330","2020-11-26","104.06752268250682"
"337","2020-12-03","123.84156063669104"
"344","2020-12-10","121.60890143974086"
"351","2020-12-17","153.06160646831097"
"358","2020-12-24","158.00989467431134"
"365","2020-12-31","204.37044440197826"
"372","2021-01-07","172.15314919188143"
"379","2021-01-14","161.44651892324725"
"386","2021-01-21","221.40193733255012"
"393","2021-01-28","234.21700358218538"
"400","2021-02-04","190.1181988961922"
"407","2021-02-11","99.34312913609494"
"414","2021-02-18","114.12260041502248"
"421","2021-02-25","104.66278735102276"
"428","2021-03-04","57.12775230339423"
"435","2021-03-11","-26.37743106406799"
"442","2021-03-18","-63.82270522059491"
"449","2021-03-25","-163.26797475320552"
"456","2021-04-01","-222.8767540353689"
"463","2021-04-08","-270.92831845301987"
"470","2021-04-15","-332.8281826744379"
"477","2021-04-22","-363.1167536276249"
"484","2021-04-29","-429.4760322406206"
"491","2021-05-06","-426.7342662251009"
"498","2021-05-13","-365.8684858332996"
"505","2021-05-20","-402.00488516376197"
"512","2021-05-27","-441.41704278905024"
"519","2021-06-03","-454.5220067765164"
"526","2021-06-10","-490.8743001182794"
"533","2021-06-17","-491.15793273020245"
"540","2021-06-24","-413.176535085026"
"547","2021-07-01","-399.8417557927261"
"554","2021-07-08","-298.1600906364016"
"561","2021-07-15","-136.21833334886094"
"568","2021-07-22","-104.16785844285425"
"575","2021-07-29","-57.207963395563866"
"582","2021-08-05","25.431488811582767"
"589","2021-08-12","144.50787558298248"
"596","2021-08-19","242.78381123613065"
"603","2021-08-26","323.04507352783673"
"610","2021-09-02","412.1182004702865"
"617","2021-09-09","564.8875024195283"
"624","2021-09-16","627.3112428064178"
"631","2021-09-23","739.4367528429815"
"638","2021-09-30","856.414260903422"
"645","2021-10-07","968.5092358271074"
"652","2021-10-14","1120.1130648531832"
"659","2021-10-21","1274.7519109629752"
"666","2021-10-28","1348.0936207293241"
"673","2021-11-04","1369.9525819708085"
"680","2021-11-11","1454.2924601755929"
"687","2021-11-18","1560.226773365112"
"694","2021-11-25","1692.0172963674618"
"701","2021-12-02","1816.0703169110338"
"708","2021-12-09","1999.9307970751543"
"715","2021-12-16","2100.274523995292"
"722","2021-12-23","2203.898362875689"
"729","2021-12-30","2400.7087528893353"
"736","2022-01-06","2535.7086120447184"
"743","2022-01-13","2672.982840200727"
"750","2022-01-20","2922.6826297799794"
"757","2022-01-27","3011.008811070783"
"764","2022-02-03","3167.194473066679"
"771","2022-02-10","3361.4871113654253"
"778","2022-02-17","3472.1305615819538"
"785","2022-02-24","3486.3469799207733"
"792","2022-03-03","3581.319131954974"
"799","2022-03-10","3700.1732462788987"
"806","2022-03-17","3804.9626816018927"
"813","2022-03-24","3905.6526441474675"
"820","2022-03-31","4057.1061770840474"
"827","2022-04-07","4250.071625358441"
"834","2022-04-14","4421.171757996122"
"841","2022-04-21","4564.894705980983"
"848","2022-04-28","4708.58684757767"
"855","2022-05-05","4840.44774479123"
"862","2022-05-12","4933.527204979302"
"869","2022-05-19","4989.724510870627"
"876","2022-05-26","5022.789830845772"
"883","2022-06-02","5054.327789756109"
"890","2022-06-09","5046.8031492527525"
"897","2022-06-16","5066.548516021917"
"904","2022-06-23","5118.773966920147"
"911","2022-06-30","5256.578452198402"
"918","2022-07-07","5345.962812201378"
"925","2022-07-14","5346.844219502154"
"932","2022-07-21","5464.071837722337"
"939","2022-07-28","5571.443470595277"
"946","2022-08-04","5693.72296041196"
"953","2022-08-11","5885.658084055601"
"960","2022-08-18","6079.998687541517"
"967","2022-08-25","6178.514796440131"
"974","2022-09-01","6235.014439825483"
"981","2022-09-08","6421.36092945686"
"988","2022-09-15","6619.489343709336"
"995","2022-09-22","6727.421977208328"
"1002","2022-09-29","6845.282532029067"
