"excess_mortality_x","excess_mortality_x_date","excess_mortality_week","excess_mortality_y"
"-9883","1992-12-10","1992W50","92.14873797148584"
"-9876","1992-12-17","1992W51","116.75661109515977"
"-9869","1992-12-24","1992W52","151.97686946677618"
"-9862","1992-12-31","1992W53","166.89099171201394"
"-9855","1993-01-07","1993W01","115.57043957322662"
"-9848","1993-01-14","1993W02","117.07561833207365"
"-9841","1993-01-21","1993W03","152.45499696093862"
"-9834","1993-01-28","1993W04","124.74440081838418"
"-9827","1993-02-04","1993W05","108.96648720970745"
"-9820","1993-02-11","1993W06","58.13041148889408"
"-9813","1993-02-18","1993W07","217.23168862112516"
"-9806","1993-02-25","1993W08","212.25225229542127"
"-9799","1993-03-04","1993W09","147.1607108159493"
"-9792","1993-03-11","1993W10","254.91279614938196"
"-9785","1993-03-18","1993W11","336.45199970585145"
"-9778","1993-03-25","1993W12","292.7103857230162"
"-9771","1993-04-01","1993W13","205.60957054584173"
"-9764","1993-04-08","1993W14","187.0618536863252"
"-9757","1993-04-15","1993W15","182.97148434240762"
"-9750","1993-04-22","1993W16","151.23604508592848"
"-9743","1993-04-29","1993W17","185.7479327241407"
"-9736","1993-05-06","1993W18","140.39591492295108"
"-9729","1993-05-13","1993W19","94.06674007331264"
"-9722","1993-05-20","1993W20","87.64677710114756"
"-9715","1993-05-27","1993W21","67.02366147743612"
"-9708","1993-06-03","1993W22","97.08792358507355"
"-9701","1993-06-10","1993W23","131.7345758445257"
"-9694","1993-06-17","1993W24","125.86463558761432"
"-9687","1993-06-24","1993W25","181.38656158980245"
"-9680","1993-07-01","1993W26","160.2175834127131"
"-9673","1993-07-08","1993W27","197.28490425257303"
"-9666","1993-07-15","1993W28","112.52675981458992"
"-9659","1993-07-22","1993W29","85.8933178115409"
"-9652","1993-07-29","1993W30","51.34740498721965"
"-9645","1993-08-05","1993W31","150.8650510584506"
"-9638","1993-08-12","1993W32","116.43584161721003"
"-9631","1993-08-19","1993W33","83.06307479861766"
"-9624","1993-08-26","1993W34","77.76371936125179"
"-9617","1993-09-02","1993W35","147.5681747022171"
"-9610","1993-09-09","1993W36","161.51983619904627"
"-9603","1993-09-16","1993W37","184.6744720922286"
"-9596","1993-09-23","1993W38","179.09942085510113"
"-9589","1993-09-30","1993W39","147.87262060227056"
"-9582","1993-10-07","1993W40","124.08148452599642"
